skill_count,matched_role_skills,ats_score,jd_similarity,experience_years,action_verbs,achievements,pages,section_score,shortlisted
26,6,97.4,0.797,2.4,13,2,2,0.623,1
21,17,25.3,0.221,14.7,0,5,3,0.918,0
28,2,71.9,0.521,2.4,9,3,1,0.828,0
25,9,25.9,0.645,7.3,14,9,1,0.905,1
28,6,50.0,0.486,5.5,6,1,1,0.11,0
7,8,84.3,0.124,9.6,3,2,2,0.969,1
28,16,54.7,0.805,1.9,13,8,2,0.526,1
23,10,99.8,0.109,6.5,15,8,2,0.818,1
25,6,64.7,0.786,4.1,13,5,3,0.214,0
11,13,45.7,0.904,13.3,2,9,2,0.456,1
14,18,37.6,0.49,0.6,16,9,2,0.344,1
23,3,48.0,0.582,13.7,13,8,2,0.362,1
3,5,49.8,0.529,12.5,17,3,2,0.211,1
28,9,25.5,0.45,4.5,2,4,1,0.825,0
28,6,49.6,0.899,11.8,18,9,3,0.108,1
3,12,57.1,0.905,0.5,2,5,1,0.381,0
17,13,77.8,0.402,14.5,11,8,3,0.257,1
4,3,72.5,0.654,7.9,4,4,3,0.63,1
24,7,76.7,0.934,4.5,9,7,1,0.329,1
18,4,20.7,0.966,5.4,8,0,2,0.333,0
27,0,37.4,0.558,1.0,0,4,1,0.54,0
10,3,72.9,0.508,14.8,12,9,3,0.687,0
15,2,58.7,0.351,0.6,2,0,3,0.209,0
23,8,20.4,0.963,9.8,18,9,2,0.258,1
3,7,84.4,0.229,6.6,10,5,1,0.322,0
18,0,81.8,0.622,14.2,15,6,3,0.976,1
9,5,63.9,0.354,3.7,5,4,1,0.457,0
7,8,25.3,0.351,8.0,2,0,2,0.639,0
24,6,81.3,0.464,7.2,18,5,2,0.317,1
25,3,66.7,0.999,10.5,5,9,3,0.541,1
5,12,82.6,0.149,1.0,7,4,2,0.167,0
14,16,80.1,0.621,2.9,12,5,3,0.131,1
28,1,84.2,0.174,3.2,11,9,3,0.522,0
18,4,61.4,0.239,11.1,9,6,2,0.459,0
21,11,31.2,0.496,2.8,2,6,2,0.223,0
7,7,73.7,0.559,8.6,3,1,1,0.719,1
24,5,69.6,0.333,3.2,0,2,1,0.994,0
27,7,79.4,0.385,12.9,12,5,3,0.456,1
16,17,33.6,0.178,14.1,3,2,1,0.662,1
7,2,35.6,0.373,7.8,10,1,3,0.967,0
17,11,91.2,0.97,5.3,18,3,2,0.848,1
19,2,80.0,0.95,3.5,10,4,2,0.517,1
16,5,92.7,0.401,0.7,11,9,1,0.764,1
22,1,80.7,0.614,4.0,10,8,3,0.215,1
7,11,67.8,0.919,9.8,5,2,3,0.561,1
14,1,72.3,0.106,8.0,11,2,1,0.351,0
18,5,91.1,0.83,14.2,8,5,3,0.245,1
28,16,66.3,0.954,5.9,9,4,3,0.484,1
28,2,70.6,0.182,10.4,2,5,2,0.218,0
18,1,32.5,0.245,7.3,2,6,3,0.729,0
23,19,57.9,0.965,7.7,19,2,3,0.511,1
9,7,77.3,0.584,4.0,15,4,3,0.578,0
6,11,41.7,0.113,6.8,2,7,1,0.232,0
3,3,36.2,0.332,7.1,9,3,1,0.226,0
7,4,45.1,0.505,10.6,10,9,1,0.625,0
25,12,39.3,0.724,14.1,7,1,3,0.987,0
28,14,37.2,0.76,4.9,5,3,3,0.187,0
12,15,54.0,0.996,0.6,19,1,1,0.357,1
24,9,92.6,0.359,7.4,10,2,1,0.883,1
7,15,60.6,0.584,8.2,11,3,3,0.165,1
6,11,35.0,0.58,2.5,15,3,3,0.888,0
4,16,26.2,0.465,11.4,17,9,2,0.572,0
22,15,75.7,0.252,14.8,12,8,1,0.467,1
12,11,50.6,0.98,14.2,2,9,3,0.379,1
28,7,85.7,0.868,3.0,14,5,1,0.367,1
21,19,72.8,0.548,13.1,13,8,1,0.375,1
28,2,83.7,0.643,10.6,17,3,1,0.896,1
3,15,41.8,0.305,6.8,13,8,2,0.751,0
26,12,75.4,0.589,8.1,4,8,3,0.703,1
7,18,41.1,0.725,12.7,13,5,3,0.819,1
15,7,95.1,0.564,7.2,7,4,1,0.331,1
6,4,70.9,0.991,5.6,14,2,3,0.656,0
18,19,46.0,0.65,7.4,14,4,2,0.514,1
26,7,41.6,0.434,8.7,18,2,1,0.804,0
18,11,35.3,0.795,2.8,19,4,2,0.378,0
25,0,75.6,0.253,13.5,5,4,2,0.679,1
4,19,37.5,0.446,10.1,18,1,3,0.894,0
19,5,67.6,0.412,9.5,7,8,3,0.462,1
29,17,41.2,0.489,1.5,5,6,2,0.16,0
22,7,73.0,0.804,9.1,19,5,3,0.564,1
26,6,85.2,0.536,1.8,14,4,2,0.411,1
14,0,82.2,0.815,1.2,2,3,2,0.705,1
20,15,80.9,0.619,7.9,9,7,1,0.956,1
5,11,35.0,0.408,6.0,14,1,2,0.537,0
3,5,27.1,0.829,8.8,15,7,2,0.52,0
3,19,75.9,0.314,1.3,16,0,3,0.689,0
21,1,49.5,0.302,6.5,18,9,1,0.193,0
13,13,54.6,0.554,2.6,10,0,3,0.328,0
7,3,22.5,0.335,14.8,15,2,1,0.927,0
14,0,40.8,0.108,8.4,4,4,3,0.703,0
5,17,22.7,0.683,10.3,4,5,2,0.112,0
3,12,90.3,0.56,4.9,13,3,1,0.284,1
3,1,39.5,0.501,1.4,17,6,1,0.715,0
10,8,64.6,0.97,14.6,7,6,1,0.788,1
12,1,23.1,0.614,4.3,4,1,1,0.856,0
13,8,73.3,0.877,6.4,6,1,3,0.363,1
14,0,45.8,0.226,9.7,15,1,3,0.938,0
15,10,91.8,0.612,0.4,13,1,1,0.598,1
14,2,91.0,0.881,12.2,4,8,1,0.727,1
16,19,46.0,0.625,8.0,8,4,1,0.637,1
4,3,92.1,0.746,4.2,3,7,3,0.21,0
21,17,99.7,0.435,0.9,3,4,1,0.967,1
20,5,86.0,0.183,2.4,15,4,1,0.211,0
5,2,87.6,0.512,13.4,16,0,1,0.329,1
25,10,39.9,0.455,10.3,14,5,3,0.832,0
19,14,66.1,0.88,3.7,3,3,2,0.657,1
28,4,25.4,0.32,1.0,5,2,2,0.854,0
10,19,27.6,0.97,10.4,15,5,3,0.564,1
28,9,99.9,0.962,8.6,3,1,2,0.439,1
12,11,46.1,0.323,6.1,5,7,1,0.93,0
28,14,79.9,0.413,5.5,4,0,1,0.133,1
4,16,84.5,0.906,3.3,15,8,3,0.871,1
21,9,88.6,0.97,10.0,15,7,3,0.308,1
11,5,99.8,0.499,14.6,9,0,2,0.864,1
9,17,39.3,0.389,2.6,8,9,2,0.225,0
6,12,23.2,0.573,9.0,3,8,1,0.622,0
28,2,52.9,0.719,6.4,13,1,3,0.899,1
23,9,30.4,0.346,6.7,3,2,2,0.526,0
20,13,21.8,0.763,3.8,11,1,2,0.772,0
15,5,48.8,0.146,12.4,9,7,1,0.824,0
13,2,82.7,0.144,7.3,3,1,1,0.763,0
26,15,65.3,0.448,8.2,17,9,1,0.933,1
6,6,45.0,0.418,4.6,12,1,1,0.502,0
27,19,72.3,0.384,2.7,12,0,2,0.256,0
23,13,38.6,0.542,1.3,13,6,3,0.143,0
27,8,21.2,0.389,10.7,17,1,3,0.322,0
6,14,81.1,0.273,2.9,0,9,1,0.229,0
12,2,69.9,0.379,10.4,15,4,1,0.602,0
7,1,81.0,0.977,5.9,14,4,2,0.266,1
11,1,23.1,0.47,6.2,4,2,1,0.135,0
26,2,87.0,0.5,7.0,5,2,3,0.132,0
5,17,69.6,0.619,5.5,5,2,1,0.848,0
19,13,65.1,0.985,1.5,2,5,3,0.632,1
5,19,70.0,0.317,4.6,15,3,1,0.422,0
18,17,89.2,0.713,10.0,11,2,1,0.905,1
6,9,67.0,0.744,10.0,3,1,3,0.163,0
20,1,66.5,0.647,4.3,0,2,2,0.982,0
19,0,99.3,0.18,6.9,3,3,2,0.655,0
9,3,80.5,0.709,2.9,0,5,1,0.265,0
26,13,55.4,0.158,3.2,7,3,1,0.711,0
25,0,76.6,0.637,0.3,4,7,3,0.787,0
7,13,51.1,0.766,13.5,1,2,3,0.486,0
14,15,38.3,0.29,3.2,11,2,1,0.875,0
19,13,67.7,0.857,3.4,16,2,3,0.236,1
25,19,94.3,0.127,4.2,6,7,2,0.351,1
15,2,94.3,0.859,1.9,10,3,2,0.184,1
25,2,47.4,0.514,9.6,3,0,3,0.29,0
27,8,62.2,0.296,1.1,4,1,3,0.315,0
5,5,36.9,0.22,2.0,5,9,3,0.926,0
11,12,99.7,0.958,9.7,10,1,2,0.17,1
19,1,98.5,0.165,5.1,0,2,1,0.485,0
19,7,72.0,0.279,10.6,9,5,3,0.579,0
22,1,84.4,0.413,8.4,19,7,3,0.909,1
18,3,77.2,0.658,3.8,10,0,3,0.998,0
27,14,67.5,0.59,9.8,16,8,1,0.778,1
24,3,24.3,0.213,1.7,7,0,3,0.974,0
15,12,56.4,0.361,8.0,12,9,3,0.808,0
29,11,74.0,0.315,6.6,19,1,2,0.967,1
21,12,74.2,0.292,4.0,17,2,3,0.737,1
19,13,49.8,0.47,9.1,15,6,2,0.172,0
6,19,95.3,0.734,13.1,1,8,1,0.462,1
14,17,33.4,0.296,15.0,4,2,3,0.682,0
11,5,60.0,0.43,9.1,17,7,3,0.416,1
21,10,75.3,0.452,6.1,2,8,2,0.346,1
14,1,75.8,0.979,3.4,16,9,1,0.62,1
11,18,71.9,0.959,3.9,15,6,1,0.94,1
9,18,42.0,0.82,7.2,5,3,2,0.131,0
16,4,32.5,0.317,5.5,18,3,1,0.792,0
22,18,70.9,0.161,13.7,6,3,1,0.75,1
21,1,67.9,0.385,5.5,17,5,1,0.968,0
28,9,34.3,0.34,5.6,13,3,1,0.938,0
17,1,76.4,0.555,5.8,5,4,1,0.786,0
18,10,56.4,0.8,12.5,7,8,1,0.568,1
23,17,73.4,0.872,9.8,14,6,1,0.284,1
7,14,87.0,0.86,9.2,14,7,1,0.591,1
5,8,33.6,0.424,5.0,14,4,3,0.789,0
14,18,21.5,0.719,12.3,15,4,2,0.906,1
27,8,82.3,0.382,0.6,0,6,1,0.811,1
22,2,68.8,0.155,13.1,10,7,2,0.276,0
29,8,76.0,0.731,7.7,4,8,1,0.64,1
23,13,87.1,0.109,6.0,4,1,1,0.399,0
6,18,84.2,0.468,7.5,5,2,3,0.108,1
23,6,96.9,0.396,10.0,1,1,2,0.28,1
25,15,62.9,0.724,0.2,5,9,2,0.202,1
18,15,59.1,0.79,13.1,13,6,3,0.858,1
27,0,52.2,0.374,6.7,10,1,3,0.333,0
9,3,32.3,0.83,5.1,3,1,2,0.356,0
15,3,65.8,0.365,2.1,8,1,1,0.964,0
23,6,42.2,0.502,6.6,2,3,1,0.441,0
12,7,93.7,0.754,7.4,15,0,2,0.109,1
28,16,66.7,0.724,6.1,10,1,1,0.355,1
9,4,67.4,0.989,10.2,3,2,3,0.207,1
16,6,48.4,0.303,6.3,0,6,3,0.193,0
28,19,24.2,0.696,14.4,15,9,3,0.17,1
7,19,22.5,0.649,9.0,18,0,2,0.634,0
5,3,53.9,0.924,12.1,15,5,2,0.27,1
25,5,26.8,0.241,1.6,10,2,2,0.425,0
13,6,68.5,0.777,6.0,7,2,1,0.876,1
13,17,90.5,0.611,5.1,0,3,2,0.482,1
20,4,90.6,0.347,8.5,8,3,2,0.924,1
17,19,72.7,0.527,12.9,11,6,3,0.548,1
14,2,36.9,0.4,1.2,7,2,1,0.459,0
11,6,89.0,0.621,1.1,16,7,1,0.775,1
12,13,90.9,0.9,12.8,9,7,3,0.166,1
28,6,35.7,0.612,3.2,6,6,1,0.181,0
14,4,79.0,0.669,10.0,18,1,2,0.687,1
19,4,42.9,0.567,8.1,5,4,1,0.538,0
8,1,84.2,0.146,12.5,18,5,3,0.811,0
9,5,99.8,0.31,1.9,17,9,1,0.925,1
16,14,22.4,0.543,1.9,14,3,3,0.45,0
15,9,91.8,0.379,8.4,1,9,2,0.637,1
10,6,69.8,0.264,14.2,13,4,2,0.551,0
12,4,97.9,0.554,6.2,9,8,3,0.983,1
11,0,57.2,0.391,4.9,15,6,2,0.848,0
20,12,87.8,0.332,9.1,6,1,2,0.921,0
29,17,25.0,0.518,14.0,7,0,1,0.329,0
28,12,46.8,0.22,12.6,9,1,2,0.795,0
4,17,25.4,0.935,14.9,14,2,3,0.339,1
7,4,98.0,0.881,0.3,7,1,2,0.288,1
7,12,85.4,0.737,1.7,12,2,1,0.95,1
8,3,88.2,0.196,9.1,11,9,3,0.117,0
21,16,95.0,0.798,12.3,7,8,2,0.969,1
10,2,26.8,0.827,4.3,14,3,2,0.234,0
18,16,50.8,0.791,3.6,11,8,2,0.837,1
15,10,25.7,0.203,11.8,10,2,3,0.348,0
3,19,36.9,0.68,0.8,18,0,1,0.416,0
24,3,38.3,0.851,5.5,13,4,3,0.295,0
22,1,57.5,0.62,7.6,17,9,3,0.627,0
19,19,41.5,0.682,8.4,12,9,1,0.413,1
9,15,28.1,0.513,10.9,3,1,3,0.692,0
27,17,33.4,0.576,5.3,16,3,3,0.114,0
15,7,31.8,0.131,9.2,18,1,2,0.158,0
6,2,97.8,0.675,8.8,8,1,3,0.19,0
6,8,80.7,0.173,8.2,6,2,2,0.477,1
8,19,97.4,0.492,9.6,0,4,3,0.833,1
21,5,55.2,0.363,3.9,6,3,2,0.899,0
14,9,42.3,0.591,1.3,6,1,2,0.32,0
24,9,83.9,0.22,1.8,19,9,2,0.617,0
9,12,46.1,0.722,3.4,6,1,1,0.792,0
29,16,44.0,0.816,7.5,7,5,3,0.36,0
12,8,38.6,0.247,12.6,15,6,3,0.468,0
28,16,30.4,0.194,10.5,2,9,3,0.572,0
21,8,40.5,0.231,11.8,12,5,1,0.221,0
9,8,48.4,0.889,5.3,9,6,2,0.123,0
5,0,73.9,0.575,6.1,17,0,3,0.238,0
15,1,25.0,0.521,5.9,6,5,1,0.664,0
15,15,36.8,0.196,2.9,4,2,1,0.166,0
20,0,84.7,0.685,0.9,6,0,3,0.271,1
28,9,31.8,0.881,8.9,16,7,2,0.404,0
22,17,47.4,0.845,14.8,3,3,1,0.17,1
10,7,89.2,0.663,2.5,15,9,3,0.273,1
11,10,32.4,0.168,0.7,18,7,2,0.92,0
9,1,26.6,0.201,11.7,9,9,1,0.117,0
3,7,58.8,0.144,3.8,2,3,1,0.688,0
5,7,44.2,0.332,12.4,2,3,3,0.446,0
15,16,65.1,0.222,10.6,16,9,3,0.705,1
27,14,84.3,0.334,14.2,9,3,2,0.63,1
19,16,31.0,0.447,6.1,16,5,3,0.301,0
27,12,66.5,0.949,9.9,16,8,3,0.862,1
26,18,60.4,0.649,7.0,3,4,2,0.543,1
3,4,31.5,0.851,9.5,5,9,3,0.84,0
8,11,69.9,0.739,6.7,11,7,2,0.465,1
23,0,41.9,0.201,2.8,19,7,2,0.986,0
8,4,59.0,0.762,7.6,16,3,2,0.793,1
28,7,26.6,0.348,7.9,16,9,3,0.969,0
14,12,56.8,0.675,12.2,9,8,2,0.563,1
15,7,44.5,0.407,11.0,6,8,3,0.526,0
15,10,85.8,0.998,10.0,15,4,2,0.78,1
17,0,24.6,0.337,1.7,12,5,3,0.892,0
23,12,53.5,0.351,10.8,2,4,2,0.968,0
18,18,56.7,0.938,7.5,1,2,1,0.392,1
24,2,78.0,0.122,13.4,15,7,1,0.819,0
23,16,65.9,0.727,13.8,5,8,1,0.29,1
13,4,73.4,0.753,0.8,5,3,2,0.591,0
7,19,82.2,0.853,12.3,12,8,3,0.262,1
6,7,89.0,0.977,0.6,6,8,2,0.413,1
5,13,45.1,0.978,5.5,4,6,2,0.938,1
21,3,63.0,0.159,8.1,6,7,2,0.231,0
22,10,87.2,0.84,2.2,1,2,2,0.669,1
27,19,99.2,0.682,11.2,16,4,3,0.634,1
20,14,91.2,0.683,0.1,12,2,2,0.209,1
17,18,49.7,0.216,2.5,15,6,1,0.393,1
11,6,35.6,0.685,8.7,19,5,1,0.607,1
19,18,59.2,0.984,10.7,1,2,1,0.268,1
16,18,79.3,0.921,13.7,4,8,2,0.821,1
17,10,59.4,0.495,10.6,17,0,3,0.975,1
3,4,58.7,0.136,10.1,6,9,3,0.293,0
23,4,87.1,0.426,5.9,10,2,3,0.268,0
24,7,48.9,0.844,0.0,10,9,2,0.509,1
24,9,88.8,0.731,1.8,16,6,3,0.773,1
5,5,52.5,0.513,8.0,15,2,1,0.353,0
18,14,46.3,0.15,10.1,12,2,3,0.118,0
25,15,56.3,0.484,6.3,4,1,2,0.587,0
27,16,81.0,0.522,11.0,19,8,2,0.961,1
13,7,30.1,0.936,7.8,15,3,3,0.452,0
14,7,35.7,0.677,1.1,15,9,2,0.478,0
12,8,96.1,0.38,2.9,15,5,3,0.972,1
18,1,34.0,0.573,12.6,13,1,3,0.725,0
10,14,65.4,0.159,10.9,5,8,1,0.747,0
8,17,66.3,0.975,13.4,1,6,2,0.606,1
14,2,59.2,0.424,1.8,13,9,1,0.977,0
26,16,71.6,0.53,14.9,15,4,2,0.72,1
23,3,38.4,0.42,3.1,19,6,3,0.906,0
10,3,64.2,0.714,0.2,12,3,2,0.729,0
28,13,49.8,0.696,15.0,14,9,3,0.762,1
6,8,72.9,0.744,4.2,11,6,2,0.361,1
28,8,31.3,0.341,10.0,8,1,1,0.373,0
10,17,65.7,0.384,2.7,17,6,1,0.805,1
28,9,34.8,0.213,8.7,13,3,3,0.367,0
20,3,42.3,0.69,13.6,19,3,1,0.606,0
7,11,37.5,0.136,4.8,3,0,3,0.324,0
11,7,34.6,0.638,10.1,7,2,3,0.835,0
6,1,86.1,0.883,2.8,7,4,3,0.199,0
29,12,42.9,0.902,9.4,15,4,2,0.847,1
24,15,94.2,0.504,5.0,9,1,3,0.642,0
19,1,97.6,0.513,3.2,16,3,1,0.268,1
11,10,65.7,0.169,4.7,0,0,2,0.588,0
3,9,31.4,0.704,2.7,17,8,1,0.354,0
23,14,50.0,0.839,13.5,9,0,3,0.391,1
22,16,83.8,0.32,6.0,3,5,3,0.416,1
15,7,49.4,0.479,3.7,0,6,1,0.157,0
18,17,27.0,0.855,6.7,3,2,2,0.987,1
15,8,64.5,0.889,4.8,3,0,1,0.128,0
16,7,87.6,0.319,11.2,3,6,3,0.696,1
5,13,83.7,0.596,14.6,16,2,2,0.434,1
8,17,34.0,0.273,6.6,8,9,3,0.681,0
20,19,73.8,0.192,12.9,18,5,3,0.421,1
21,19,37.6,0.92,8.5,12,5,1,0.706,1
7,11,37.5,0.838,2.4,3,3,3,0.756,0
17,18,89.9,0.784,10.4,4,5,1,0.721,1
27,13,40.0,0.144,7.7,12,9,2,0.203,0
4,16,41.1,0.859,9.8,15,3,3,0.691,0
12,2,20.1,0.494,13.3,4,7,3,0.352,0
26,6,89.7,0.408,6.6,7,8,2,0.126,1
20,16,83.4,0.592,13.5,15,1,1,0.473,1
29,11,70.2,0.182,11.3,0,6,3,0.49,1
15,8,80.0,0.781,7.3,5,8,2,0.52,1
7,14,32.2,0.624,9.0,10,8,3,0.734,0
25,17,56.7,0.268,4.9,15,4,1,0.378,0
26,12,48.1,0.269,14.8,4,0,1,0.384,0
3,7,27.5,0.266,10.0,15,5,1,0.154,0
24,13,58.9,0.151,0.7,6,7,1,0.718,0
3,7,93.7,0.629,4.9,18,0,2,0.611,1
20,13,23.2,0.856,9.3,0,1,3,0.414,1
17,6,43.3,0.116,0.8,8,0,2,0.735,0
19,11,36.6,0.144,0.4,17,4,1,0.584,0
13,10,39.1,0.615,6.8,12,1,1,0.522,0
23,10,92.7,0.838,5.0,14,9,1,0.56,1
28,12,57.4,0.394,6.6,2,9,1,0.673,1
27,17,57.3,0.415,3.9,9,3,3,0.694,0
24,1,80.8,0.637,2.5,8,0,1,0.36,0
29,14,32.4,0.347,10.3,12,6,3,0.227,0
29,19,59.0,0.124,7.7,15,7,1,0.241,0
19,17,54.4,0.762,3.0,2,4,3,0.675,0
15,14,67.8,0.663,4.8,14,1,3,0.886,1
3,18,100.0,0.623,8.9,16,7,1,0.469,1
4,11,81.6,0.768,1.1,13,0,2,0.253,0
11,12,51.8,0.708,2.2,6,6,2,0.781,1
5,10,86.2,0.285,1.1,19,0,2,0.849,1
3,4,33.7,0.417,12.2,15,5,2,0.893,0
23,0,22.4,0.213,11.3,7,5,2,0.646,0
18,2,36.4,0.217,11.3,3,4,1,0.875,0
25,18,47.2,0.709,10.7,19,1,1,0.114,1
8,6,60.8,0.873,10.0,14,1,1,0.197,0
19,11,69.2,0.966,7.2,4,8,1,0.183,1
7,14,92.8,0.666,9.6,12,4,1,0.741,1
7,4,60.8,0.266,0.6,5,4,1,0.163,0
8,14,60.1,0.195,9.3,4,6,3,0.547,0
5,7,24.0,0.832,11.7,16,5,3,0.525,0
23,9,22.8,0.621,7.5,6,1,1,0.38,0
25,15,64.1,0.656,5.4,5,0,1,0.883,1
7,7,55.1,0.803,4.2,1,4,3,0.253,0
23,0,87.1,0.733,9.6,10,3,3,0.417,1
7,11,32.9,0.851,10.4,6,2,1,0.797,0
12,4,22.0,0.151,13.1,7,1,3,0.127,0
12,2,55.9,0.773,5.1,4,9,2,0.706,0
21,0,39.0,0.866,11.5,17,1,2,0.835,0
19,3,24.0,0.358,8.4,15,3,2,0.939,0
23,7,78.0,0.676,13.2,13,1,3,0.889,1
16,2,28.9,0.383,7.9,11,3,1,0.387,0
11,9,68.7,0.962,7.8,16,2,1,0.628,1
16,1,42.5,0.13,8.7,4,8,1,0.17,0
3,10,33.9,0.622,11.2,13,6,3,0.332,0
21,9,50.4,0.25,14.5,5,2,3,0.185,1
15,13,84.1,0.741,1.1,14,7,2,0.384,1
15,6,51.4,0.258,0.8,6,8,3,0.888,0
6,1,80.1,0.312,14.1,13,6,2,0.412,1
3,8,30.0,0.545,7.9,17,5,2,0.606,0
19,15,81.8,0.923,9.2,0,3,1,0.49,1
10,12,39.0,0.291,7.2,5,4,3,0.513,0
4,8,74.2,0.23,1.4,2,7,1,0.973,0
10,19,65.3,0.783,11.5,4,2,1,0.367,1
9,3,94.3,0.551,11.2,11,1,3,0.665,1
28,9,51.0,0.921,4.7,10,2,3,0.478,1
28,11,25.3,0.232,4.6,12,6,2,0.155,0
4,16,21.5,0.681,12.6,15,7,2,0.54,0
24,13,86.1,0.31,1.1,17,0,2,0.832,1
24,13,62.0,0.241,13.2,16,6,2,0.189,1
5,1,82.0,0.715,3.8,16,8,1,0.163,0
29,19,38.8,0.634,8.9,10,2,1,0.238,1
20,10,47.6,0.779,14.0,19,2,3,0.788,1
14,15,22.4,0.379,10.2,9,7,2,0.752,0
3,18,96.9,0.503,6.2,15,3,2,0.609,1
24,5,73.4,0.465,10.3,1,7,2,0.521,1
14,18,94.7,0.986,5.2,16,4,1,0.899,1
7,4,41.2,0.363,4.2,19,2,3,0.79,0
29,3,68.9,0.365,15.0,9,3,1,0.831,1
27,14,74.3,0.419,11.3,12,3,3,0.832,1
19,3,45.4,0.608,9.7,11,7,3,0.678,0
18,19,87.8,0.327,5.3,14,5,1,0.512,1
17,9,95.8,0.924,0.7,6,6,1,0.878,1
25,2,90.8,0.339,0.5,12,8,3,0.933,0
17,4,79.1,0.906,8.3,11,5,1,0.121,1
7,5,42.2,0.193,11.4,11,2,1,0.146,0
23,7,42.5,0.691,8.1,1,2,3,0.963,0
16,6,97.1,0.916,12.6,4,2,3,0.349,1
4,9,20.8,0.252,0.5,1,9,2,0.886,0
13,5,77.3,0.971,5.5,19,1,1,0.45,1
21,13,76.5,0.508,3.6,12,0,3,0.207,1
9,3,69.8,0.951,6.7,2,9,1,0.172,0
8,12,99.2,0.709,1.1,10,0,1,0.241,1
4,19,45.0,0.371,14.3,15,3,3,0.325,0
8,16,47.2,0.269,3.3,0,2,2,0.54,0
20,6,26.3,0.373,13.8,18,4,3,0.731,0
4,3,55.4,0.184,6.4,10,8,3,0.988,0
20,13,40.9,0.229,14.8,8,7,1,0.497,0
17,2,47.5,0.194,8.3,13,8,2,0.566,0
29,4,86.8,0.481,14.0,8,4,3,0.57,1
21,15,94.8,0.816,0.1,6,7,1,0.585,1
4,19,34.9,0.227,11.2,15,3,3,0.566,0
22,3,49.8,0.217,13.5,2,4,1,0.108,0
27,1,94.3,0.679,2.1,18,2,3,0.102,0
8,17,24.9,0.277,1.4,3,4,2,0.188,0
3,18,27.4,0.188,6.4,6,2,3,0.191,0
26,18,33.0,0.25,14.0,11,4,1,0.734,0
17,16,67.6,0.931,8.1,17,4,3,0.284,1
25,13,32.0,0.839,7.9,4,5,2,0.905,0
12,18,97.4,0.419,2.1,9,8,2,0.936,1
21,12,55.7,0.69,0.0,11,0,2,0.978,0
19,11,60.1,0.584,12.2,7,9,2,0.945,1
7,5,39.7,0.709,1.3,18,5,1,0.345,0
6,3,57.7,0.714,9.5,14,0,3,0.559,1
12,18,73.0,0.666,13.7,0,5,2,0.258,1
26,15,80.1,0.339,3.1,2,1,3,0.826,0
19,12,80.3,0.135,10.0,17,7,1,0.9,1
12,3,66.2,0.51,1.2,17,2,3,0.866,0
19,16,92.3,0.902,9.1,1,9,3,0.49,1
22,0,85.4,0.613,2.5,4,5,2,0.783,0
26,17,80.6,0.849,11.0,0,5,2,0.188,1
7,19,24.4,0.992,4.5,9,3,1,0.136,0
4,16,20.6,0.247,7.0,19,4,3,0.778,0
8,14,37.0,0.723,9.0,9,1,1,0.483,0
23,10,73.1,0.707,2.6,4,9,1,0.996,1
4,12,52.9,0.982,11.1,17,9,1,0.188,1
15,0,52.2,0.987,4.5,14,7,2,0.87,1
13,16,90.8,0.718,9.9,19,9,2,0.532,1
13,5,91.6,0.319,2.4,7,6,3,0.844,0
18,3,92.7,0.819,10.3,16,9,3,0.835,1
13,19,45.1,0.196,1.9,11,5,3,0.924,1
21,15,75.3,0.803,6.4,11,6,2,0.368,1
17,14,41.7,0.919,3.7,0,0,2,0.955,0
27,14,35.2,0.445,11.2,3,4,1,0.237,1
25,5,34.8,0.668,3.9,7,6,2,0.174,0
25,14,47.4,0.487,13.2,0,0,1,0.488,1
18,13,54.4,0.494,13.4,14,1,1,0.845,0
13,10,86.5,0.379,2.9,17,8,2,0.526,1
24,6,29.6,0.786,9.2,0,2,1,0.846,0
18,8,78.8,0.943,1.3,10,5,1,0.757,1
10,15,62.5,0.947,5.9,1,6,3,0.288,1
6,4,43.0,0.257,10.7,0,8,1,0.954,0
10,19,59.4,0.887,9.9,11,4,2,0.155,1
6,9,44.0,0.764,9.4,15,3,2,0.908,0
26,17,67.7,0.328,4.2,9,1,1,0.374,1
27,2,54.7,0.161,5.7,17,2,3,0.55,0
5,12,33.2,0.341,1.5,14,4,2,0.48,0
5,10,29.3,0.921,10.8,16,1,2,0.255,0
29,16,63.7,0.67,7.6,9,3,3,0.422,1
20,12,92.2,0.749,10.6,2,0,1,0.274,1
28,5,47.5,0.331,3.7,15,3,2,0.283,0
21,16,78.6,0.747,4.9,5,6,1,0.268,1
21,12,72.7,0.125,5.0,2,2,1,0.54,0
23,18,94.5,0.438,0.4,8,9,1,0.818,1
7,18,85.7,0.664,5.1,10,7,1,0.612,1
20,9,65.3,0.231,12.0,12,5,2,0.904,0
12,2,72.6,0.841,13.5,17,5,3,0.673,1
24,13,91.9,0.312,7.8,3,0,2,0.72,1
23,18,52.0,0.687,6.8,7,4,3,0.701,1
8,4,46.1,0.465,0.5,12,2,1,0.505,0
3,4,20.9,0.636,13.2,9,9,3,0.72,0
7,19,86.1,0.197,0.2,1,0,1,0.163,0
11,16,84.1,0.115,14.2,7,7,2,0.874,1
14,9,28.4,0.919,7.3,5,6,2,0.8,1
28,4,66.1,0.343,5.1,15,6,3,0.321,0
16,3,57.1,0.838,13.9,17,9,1,0.791,1
4,5,29.5,0.999,0.4,16,9,1,0.111,0
19,3,98.4,0.29,8.7,5,9,3,0.296,1
16,6,37.2,0.339,8.2,12,3,1,0.159,0
28,6,25.4,0.697,3.3,13,5,1,0.802,0
